"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Fiducial,Fiducial,Fiducial";"Fiducial";3;"VAL**";;;
2;"C6,C36,C37,C29,C21,C35,C38,C48,C49,C50,C51,C53,C52,C44";"SM1206";14;"10u";;;
3;"C7,C25,C20,C16,C24,C5,C3,C4";"SM0805";8;"1u";;;
4;"R32,R29,R31,R34,R33,R30";"SM0603";6;"470k";;;
5;"R28,R27,R26,R25,R24,R23,R51,R52";"SM0603";8;"47";;;
6;"C2,C28,C22,C19,C26,C23,C14,C10,C11,C8,C12,C9,C15,C1,C17,C27,C34,C39,C18,C42,C13";"SM0603";21;"220n";;;
7;"R2,R1,R4,R47,R45,R44,R42";"SM0603";7;"470";;;
8;"C31,C32,C30";"SM0603";3;"33n";;;
9;"R20,R5,R6,R18,R19,R21,R7,R37";"SM0603";8;"40.2k";;;
10;"R16,R13,R14,R10,R15,R11,R12,R8,R9,R3,R22,R36,R35,R43,R46,R48,R50";"SM0603";17;"1k";;;
11;"P5";"SIL-9";1;"CONN_9";;;
12;"P10,P2,P6,P9,P7,P4";"SIL-8";6;"CONN_8";;;
13;"P1";"SIL-6";1;"CONN_6";;;
14;"JP1";"SIL-3";1;"JUMPER3";;;
15;"P11";"SIL-2";1;"CONN_2";;;
16;"P12";"Conn_1751280";1;"CONN_6";;;
17;"C33,C46,C43";"Cap_Nichicon_UCL1V331MNL1GS";3;"330u";;;
18;"C45,C47";"Cap_Nichicon_UCL1V331MNL1GS";2;"220u";;;
19;"U1";"A4915";1;"A4915-JTS";;;
20;"P8,P3";"Conn_1751303";2;"CONN_8";;;
21;"ILTC1";"ILTC";1;"ILTC";;;
22;"R17,R40";"SM0603";2;"SPARE";;;
23;"VAL";"DDsmall";1;"REF";;;
24;"U4";"SOT23-5";1;"LT1797";;;
25;"U3,U2";"SOT23-5";2;"MCP6561";;;
26;"D1";"SOT23";1;"LM4040";;;
27;"R49";"SM1206";1;"0.010";;;
28;"C41";"SM1206";1;"82n";;;
29;"R39,R38,R41";"SM0603";3;"40.2K";;;
30;"C40";"SM0603";1;"2n";;;
31;"RV1";"POT_3361";1;"POT";;;
32;"Q5,Q4,Q6,Q3,Q2,Q1";"IRF5406";6;"IRF5406";;;
